2026-04-08 23:48:05,843 | httpx                     | INFO    | HTTP Request: POST https://us-central1-aiplatform.googleapis.com/v1/projects/precise-truck-489917-q4/locations/us-central1/publishers/google/models/text-embedding-005:predict "HTTP/1.1 200 OK"
2026-04-08 23:48:06,047 | LiteLLM                   | INFO    | 
LiteLLM completion() model= deepseek-ai/deepseek-v3.2-maas; provider = openai
2026-04-08 23:48:10,403 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:48:11,755 | httpx                     | INFO    | HTTP Request: POST https://aiplatform.googleapis.com/v1/projects/precise-truck-489917-q4/locations/global/endpoints/openapi/chat/completions "HTTP/1.1 200 OK"
2026-04-08 23:48:12,644 | httpx                     | INFO    | HTTP Request: POST https://us-central1-aiplatform.googleapis.com/v1/projects/precise-truck-489917-q4/locations/us-central1/publishers/google/models/text-embedding-005:predict "HTTP/1.1 200 OK"
2026-04-08 23:48:20,421 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:48:30,440 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:48:35,618 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-04-08 23:48:35,851 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:48:36,088 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
