INFO:     Started server process [611303]
INFO:     Waiting for application startup.
2026-03-24 10:41:18,875 | app.main                  | INFO    | === AI Holding Starting ===
2026-03-24 10:41:19,216 | app.main                  | INFO    | Database initialized
2026-03-24 10:41:19,226 | app.plugins.registry      | INFO    | Registered channel plugin: telegram v1.0.0
2026-03-24 10:41:19,226 | app.plugins.registry      | INFO    | Loaded plugin from: telegram_channel.py
2026-03-24 10:41:23,966 | httpx                     | INFO    | HTTP Request: GET https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json "HTTP/1.1 200 OK"
2026-03-24 10:41:27,314 | app.plugins.registry      | INFO    | Registered provider plugin: vertex_ai v1.0.0
2026-03-24 10:41:27,314 | app.plugins.registry      | INFO    | Loaded plugin from: vertex_provider.py
2026-03-24 10:41:27,314 | app.main                  | INFO    | Plugins loaded: 1 providers, 1 channels, 0 tools
2026-03-24 10:41:27,318 | app.skills.registry       | INFO    | Registered skill: datetime_utils v1.0.0 (2 tools)
2026-03-24 10:41:27,318 | app.skills.registry       | INFO    | Loaded skill from: datetime_utils.py
2026-03-24 10:41:27,322 | app.skills.registry       | INFO    | Registered skill: file_ops v1.0.0 (3 tools)
2026-03-24 10:41:27,322 | app.skills.registry       | INFO    | Loaded skill from: file_ops.py
2026-03-24 10:41:27,326 | app.skills.registry       | INFO    | Registered skill: github v1.0.0 (3 tools)
2026-03-24 10:41:27,326 | app.skills.registry       | INFO    | Loaded skill from: github_skill.py
2026-03-24 10:41:27,329 | app.skills.registry       | INFO    | Registered skill: news_feed v1.0.0 (1 tools)
2026-03-24 10:41:27,329 | app.skills.registry       | INFO    | Loaded skill from: news_feed.py
2026-03-24 10:41:27,331 | app.skills.registry       | INFO    | Registered skill: system_info v1.0.0 (3 tools)
2026-03-24 10:41:27,331 | app.skills.registry       | INFO    | Loaded skill from: system_info.py
2026-03-24 10:41:27,334 | app.skills.registry       | INFO    | Registered skill: web_search v1.0.0 (1 tools)
2026-03-24 10:41:27,335 | app.skills.registry       | INFO    | Loaded skill from: web_search.py
2026-03-24 10:41:27,335 | app.main                  | INFO    | Skills loaded: 6 total, 6 enabled
2026-03-24 10:41:27,337 | app.agents.registry       | INFO    | Registered agent: CEO (ceo)
2026-03-24 10:41:27,441 | app.main                  | INFO    | CEO Agent registered and started
2026-03-24 10:41:27,464 | app.agents.registry       | INFO    | Registered agent: Lead Researcher (e4163701-8cf0-4fac-b0c4-803a6771d292)
2026-03-24 10:41:27,469 | app.services.company_manager | INFO    | Restored agent from DB: Lead Researcher (e4163701-8cf0-4fac-b0c4-803a6771d292)
2026-03-24 10:41:27,471 | app.agents.registry       | INFO    | Registered agent: Data Collector (d690eb67-0403-4fcc-873e-d14c85e07594)
2026-03-24 10:41:27,471 | app.services.company_manager | INFO    | Restored agent from DB: Data Collector (d690eb67-0403-4fcc-873e-d14c85e07594)
2026-03-24 10:41:27,472 | app.agents.registry       | INFO    | Registered agent: Market Researcher (d7f9a5aa-1ccf-4d24-847d-55056f9551ed)
2026-03-24 10:41:27,472 | app.services.company_manager | INFO    | Restored agent from DB: Market Researcher (d7f9a5aa-1ccf-4d24-847d-55056f9551ed)
2026-03-24 10:41:27,473 | app.agents.registry       | INFO    | Registered agent: Trading Analyst (cdffda8b-619a-4959-8ae1-1a3436fac2fe)
2026-03-24 10:41:27,473 | app.services.company_manager | INFO    | Restored agent from DB: Trading Analyst (cdffda8b-619a-4959-8ae1-1a3436fac2fe)
2026-03-24 10:41:27,474 | app.agents.registry       | INFO    | Registered agent: Risk Manager (010bb629-844e-4a60-995e-e49317b27e75)
2026-03-24 10:41:27,474 | app.services.company_manager | INFO    | Restored agent from DB: Risk Manager (010bb629-844e-4a60-995e-e49317b27e75)
2026-03-24 10:41:27,474 | app.main                  | INFO    | Restored 5 agent(s) from database
2026-03-24 10:41:29,258 | apscheduler.scheduler     | INFO    | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 10:41:29,258 | app.services.telegram_bot | INFO    | Daily CEO report scheduled at 09:00 UTC
2026-03-24 10:41:29,358 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getMe "HTTP/1.1 200 OK"
2026-03-24 10:41:29,360 | apscheduler.scheduler     | INFO    | Added job "daily_ceo_report" to job store "default"
2026-03-24 10:41:29,361 | apscheduler.scheduler     | INFO    | Scheduler started
2026-03-24 10:41:29,361 | telegram.ext.Application  | INFO    | Application started
2026-03-24 10:41:29,376 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/deleteWebhook "HTTP/1.1 200 OK"
2026-03-24 10:41:29,377 | app.services.telegram_bot | INFO    | Telegram bot started (polling)
